,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,NET_RATING
0,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,47,26,21,0.553,1490.9316666666666,263,507,0.519,53,163,0.325,104,142,0.732,79,183,262,116,83,31,27,33,87,128,683,212,1262.4,3,0,79,74,435,231,50,73,98,106,148,143,281,76,69,319,45,92,68,113,74,160,81,536,452,68,79,21,87,96,31,5,"203932,1610612743",6-8,80.0,235,Arizona,USA,2014,1,4,6.8
1,1630565,Aaron Henry,Aaron,1610612755,PHI,22.0,6,6,0,1.0,16.983333333333334,1,5,0.2,0,1,0.0,0,0,0.0,0,1,1,0,2,0,2,2,2,0,2,-20,7.2,0,0,488,429,1,1,536,534,533,548,482,513,482,519,524,519,536,546,557,543,482,521,412,134,58,540,547,373,550,211,31,5,"1630565,1610612755",6-5,77.0,210,Michigan State,USA,Undrafted,Undrafted,Undrafted,-56.0
2,1628988,Aaron Holiday,Aaron,1610612764,WAS,25.0,40,18,22,0.45,634.845,95,204,0.466,22,63,0.349,25,31,0.806,8,55,63,74,36,21,9,10,59,42,237,-90,477.6,0,0,204,221,448,366,271,260,258,207,264,271,206,295,303,194,395,323,343,180,212,242,262,306,341,260,269,513,285,211,31,5,"1628988,1610612764",6-0,72.0,185,UCLA,USA,2018,1,23,-6.6
3,1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,37,21,16,0.568,378.77166666666665,44,122,0.361,17,79,0.215,13,16,0.813,9,53,62,12,21,12,2,1,46,18,118,-26,231.4,0,0,248,169,312,211,346,354,333,481,285,247,440,354,369,185,383,328,345,410,317,321,412,86,282,367,355,398,375,211,31,5,"1630174,1610612738",6-5,77.0,215,Vanderbilt,USA,2020,1,14,-2.6
4,1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,31,8,23,0.258,679.6416666666667,85,175,0.486,26,79,0.329,33,47,0.702,29,80,109,33,27,23,6,9,57,37,229,-39,469.3,0,0,314,400,468,507,261,275,287,166,246,247,275,250,236,362,193,272,263,302,274,220,317,289,329,279,274,434,288,211,31,5,"1630598,1610612760",6-4,76.0,190,Maryland,USA,2021,2,55,-1.4
5,1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,14,11,3,0.786,145.23833333333334,12,35,0.343,4,14,0.286,6,10,0.6,4,23,27,7,11,8,4,2,20,14,34,-2,101.9,0,0,429,338,92,51,433,452,440,492,385,395,369,419,401,447,449,413,429,436,384,368,359,134,184,382,444,268,438,211,31,5,"1627846,1610612756",6-5,77.0,225,Iowa State,Egypt,2016,2,58,-0.9
6,1630278,Ade Murkey,Ade,1610612758,SAC,24.0,1,0,1,0.0,1.4666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,568,560,27,560,587,557,581,557,482,541,482,519,524,519,536,566,569,543,542,521,491,1,1,540,563,264,582,211,31,5,"1630278,1610612758",6-5,77.0,200,Denver,USA,Undrafted,Undrafted,Undrafted,-33.3
7,1629678,Admiral Schofield,Admiral,1610612753,ORL,24.0,19,5,14,0.263,228.805,26,52,0.5,10,30,0.333,3,5,0.6,6,37,43,15,11,2,3,2,28,8,65,-13,143.1,0,0,402,442,272,505,396,406,415,124,332,343,254,454,452,447,420,372,388,384,384,460,386,134,222,425,410,345,411,211,31,5,"1629678,1610612753",6-5,77.0,241,Tennessee,United Kingdom,2019,2,42,-2.6
8,1629958,Ahmad Caver,Ahmad,1610612754,IND,25.0,1,0,1,0.0,0.8433333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,0,0,568,560,27,560,591,534,570,1,482,541,482,519,524,519,536,566,569,543,542,521,491,1,1,540,547,246,573,211,31,5,"1629958,1610612754",6-2,74.0,174,Old Dominion,USA,2019,,,133.3
9,201143,Al Horford,Al,1610612738,BOS,35.0,45,25,20,0.556,1283.5616666666667,168,387,0.434,53,177,0.299,61,73,0.836,70,265,335,149,46,26,58,10,88,63,450,84,1281.5,9,0,111,95,418,224,115,148,137,306,148,125,348,144,157,147,59,30,38,80,164,198,17,306,457,174,149,91,84,45,31,5,"201143,1610612738",6-9,81.0,240,Florida,Dominican Republic,2007,1,3,2.8
10,202692,Alec Burks,Alec,1610612752,NYK,30.0,52,24,28,0.462,1387.7583333333334,171,448,0.382,94,237,0.397,142,171,0.83,31,191,222,134,51,59,14,19,121,152,578,42,1213.4,0,0,9,113,533,353,76,143,110,441,56,71,99,43,43,161,179,80,96,92,150,27,190,426,556,45,107,133,100,211,31,5,"202692,1610612752",6-6,78.0,214,Colorado,USA,2011,1,12,1.0
11,1630758,Aleem Ford,Aleem,1610612753,ORL,24.0,5,2,3,0.4,73.53,6,20,0.3,2,15,0.133,0,0,0.0,2,13,15,2,4,1,0,1,7,3,14,-35,34.0,0,0,499,487,92,401,471,478,471,519,420,390,470,519,524,519,472,458,460,497,458,473,491,86,112,481,487,425,492,211,31,5,"1630758,1610612753",6-8,80.0,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,-22.1
12,1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,37,13,24,0.351,570.4,74,202,0.366,22,92,0.239,7,14,0.5,36,118,154,43,43,18,17,11,44,22,177,-49,488.3,0,0,248,306,488,450,287,298,260,470,264,225,424,410,376,477,159,194,181,265,176,276,155,324,269,348,312,461,279,211,31,5,"1630197,1610612760",7-0,84.0,190,None,Serbia,2020,1,17,-5.1
13,1627936,Alex Caruso,Alex,1610612741,CHI,27.0,28,19,9,0.679,775.4416666666667,78,182,0.429,30,87,0.345,48,59,0.814,25,83,108,109,40,54,11,13,68,68,234,140,682.1,1,0,332,202,192,88,236,289,277,315,228,233,217,180,200,183,222,262,266,119,189,37,230,350,381,163,271,55,223,143,31,5,"1627936,1610612741",6-5,77.0,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,9.1
14,203458,Alex Len,Alex,1610612758,SAC,28.0,32,13,19,0.406,537.7966666666666,80,152,0.526,6,19,0.316,36,56,0.643,48,102,150,40,38,11,25,12,88,49,202,-74,512.0,2,0,307,306,395,399,297,287,306,96,364,377,307,232,208,421,113,228,187,280,196,331,93,337,457,219,291,504,274,112,31,5,"203458,1610612758",7-0,84.0,250,Maryland,Ukraine,2013,1,5,-6.4
15,1628035,Alfonzo McKinnie,Alfonzo,1610612741,CHI,29.0,15,8,7,0.533,201.24666666666667,24,60,0.4,9,26,0.346,1,6,0.167,13,18,31,5,7,2,3,4,25,6,58,-65,110.7,0,0,421,400,157,257,403,413,404,402,340,351,214,507,444,518,338,434,420,453,416,460,386,191,201,441,416,491,427,211,31,5,"1628035,1610612741",6-7,79.0,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,-15.1
16,1628993,Alize Johnson,Alize,1610612764,WAS,25.0,19,11,8,0.579,138.77,14,29,0.483,0,4,0.0,4,8,0.5,21,27,48,8,11,3,0,5,15,10,32,-66,99.6,0,0,402,338,175,196,436,443,451,172,482,454,482,439,427,477,252,399,382,429,384,443,491,218,163,413,451,493,439,211,31,5,"1628993,1610612764",6-8,80.0,212,Missouri State,USA,2018,2,50,-20.2
17,1630578,Alperen Sengun,Alperen,1610612745,HOU,19.0,44,13,31,0.295,803.705,135,279,0.484,14,51,0.275,105,148,0.709,74,127,201,106,90,35,40,28,124,142,389,-149,924.2,2,0,137,306,558,493,230,193,201,170,301,293,391,73,64,355,50,166,124,121,58,136,40,511,563,56,180,554,163,112,31,5,"1630578,1610612745",6-10,82.0,243,None,Turkey,2021,1,16,-9.9
18,1629599,Amir Coffey,Amir,1610612746,LAC,24.0,41,18,23,0.439,900.0583333333333,112,242,0.463,57,145,0.393,63,71,0.887,20,109,129,69,18,22,10,12,53,56,344,2,680.3,0,0,183,221,468,375,203,235,237,214,143,167,106,138,164,67,259,210,229,190,343,234,247,337,317,202,199,246,225,211,31,5,"1629599,1610612746",6-7,79.0,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,1.0
19,203083,Andre Drummond,Andre,1610612755,PHI,28.0,47,27,20,0.574,870.5616666666666,125,231,0.541,0,2,0.0,42,82,0.512,133,285,418,89,78,54,44,22,117,84,292,-11,1143.1,7,0,79,58,418,205,212,208,242,79,482,481,482,205,144,476,13,25,20,155,85,37,29,467,544,127,240,333,115,58,31,5,"203083,1610612755",6-10,82.0,279,Connecticut,USA,2012,1,9,0.6
20,2738,Andre Iguodala,Andre,1610612744,GSW,38.0,25,16,9,0.64,512.6233333333333,39,101,0.386,13,60,0.217,13,16,0.813,19,65,84,97,23,21,21,1,24,31,104,112,453.3,0,0,357,255,192,129,308,368,355,429,311,279,439,354,369,185,271,299,305,138,301,242,121,86,196,293,369,70,294,211,31,5,"2738,1610612744",6-6,78.0,215,Arizona,USA,2004,1,9,9.9
21,203952,Andrew Wiggins,Andrew,1610612744,GSW,26.0,48,36,12,0.75,1517.505,328,675,0.486,109,261,0.418,108,161,0.671,50,154,204,102,71,47,32,28,91,146,873,278,1436.8,0,0,60,11,235,62,39,32,42,165,43,55,58,68,51,394,107,125,119,127,97,67,59,511,471,51,33,11,60,211,31,5,"203952,1610612744",6-7,79.0,197,Kansas,Canada,2014,1,1,9.6
22,1629014,Anfernee Simons,Anfernee,1610612757,POR,22.0,48,21,27,0.438,1372.7133333333334,274,625,0.438,136,347,0.392,75,84,0.893,22,106,128,175,89,26,6,28,93,72,759,-35,1182.1,2,0,60,169,520,376,79,64,53,290,14,20,108,112,141,58,245,220,231,61,62,198,317,511,478,154,63,425,108,112,31,5,"1629014,1610612757",6-3,75.0,181,None,USA,2018,1,24,-1.6
23,203076,Anthony Davis,Anthony,1610612747,LAL,28.0,33,16,17,0.485,1167.6616666666666,313,592,0.529,11,63,0.175,146,201,0.726,97,238,335,91,73,42,73,16,85,167,783,-49,1593.5,17,0,298,255,348,329,136,38,69,92,324,271,452,39,32,331,25,47,38,148,93,90,10,385,441,36,55,461,38,24,31,5,"203076,1610612747",6-10,82.0,253,Kentucky,USA,2012,1,1,-1.9
24,1630162,Anthony Edwards,Anthony,1610612750,MIN,20.0,46,24,22,0.522,1609.7416666666666,371,839,0.442,147,408,0.36,139,171,0.813,44,185,229,166,134,71,33,28,106,136,1028,158,1729.8,4,0,98,113,448,267,20,18,9,278,7,7,179,45,43,184,125,90,87,67,18,11,55,511,516,59,15,46,30,84,31,5,"1630162,1610612750",6-4,76.0,225,Georgia,USA,2020,1,1,5.0
25,1630264,Anthony Gill,Anthony,1610612764,WAS,29.0,20,6,14,0.3,118.43333333333334,18,27,0.667,5,7,0.714,12,14,0.857,8,17,25,8,5,1,3,1,19,12,53,37,102.0,0,0,393,429,272,490,447,426,454,19,376,432,6,360,376,106,395,436,432,429,441,473,386,86,180,399,422,143,437,211,31,5,"1630264,1610612764",6-7,79.0,230,Virginia,USA,Undrafted,Undrafted,Undrafted,14.5
26,1630237,Anthony Lamb,Anthony,1610612759,SAS,24.0,2,0,2,0.0,7.683333333333334,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,1,0,5,4.2,0,0,540,560,65,560,561,557,558,557,482,481,482,519,524,519,536,546,557,497,542,521,491,86,1,513,563,225,564,211,31,5,"1630237,1610612759",6-6,78.0,227,Vermont,USA,Undrafted,Undrafted,Undrafted,29.4
27,1629717,Armoni Brooks,Armoni,1610612745,HOU,23.0,39,11,28,0.282,671.4583333333334,87,246,0.354,64,208,0.308,16,19,0.842,12,65,77,49,21,21,8,4,58,18,254,-51,485.9,0,0,218,338,533,500,262,273,232,487,123,102,328,336,354,137,354,299,318,244,317,242,279,191,334,367,260,468,280,211,31,5,"1629717,1610612745",6-3,75.0,195,Houston,USA,2019,,,-2.7
28,1629083,Arnoldas Kulboka,Arnoldas,1610612766,CHA,24.0,1,1,0,1.0,2.716666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-8,0.0,0,0,568,516,1,1,577,557,581,557,482,541,482,519,524,519,536,566,569,543,542,521,491,1,1,540,563,316,582,211,31,5,"1629083,1610612766",6-10,82.0,209,None,Lithuania,2018,2,55,-133.3
29,1630559,Austin Reaves,Austin,1610612747,LAL,23.0,35,21,14,0.6,746.3083333333333,68,147,0.463,26,84,0.31,42,49,0.857,19,74,93,44,20,11,8,6,51,70,204,120,418.6,0,0,273,169,272,172,242,313,311,215,246,240,323,205,227,106,271,283,284,261,326,331,279,238,309,158,290,63,308,211,31,5,"1630559,1610612747",6-5,77.0,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,7.9
30,203085,Austin Rivers,Austin,1610612743,DEN,29.0,39,23,16,0.59,836.68,89,218,0.408,51,145,0.352,19,27,0.704,13,51,64,43,32,28,4,10,62,26,248,16,453.3,0,0,218,131,312,182,220,270,252,380,154,167,202,322,317,360,338,335,339,265,238,180,359,306,355,323,265,188,294,211,31,5,"203085,1610612743",6-4,76.0,200,Duke,USA,2012,1,10,0.9
31,202340,Avery Bradley,Avery,1610612747,LAL,31.0,46,24,22,0.522,1087.6766666666667,118,285,0.414,63,166,0.38,12,14,0.857,25,82,107,38,29,44,8,17,90,24,311,-112,623.4,0,0,98,113,448,267,156,218,194,365,124,137,131,360,376,106,222,267,267,286,260,80,279,397,466,332,228,531,242,211,31,5,"202340,1610612747",6-3,75.0,180,Texas-Austin,USA,2010,1,19,-4.6
32,1630245,Ayo Dosunmu,Ayo,1610612741,CHI,22.0,48,30,18,0.625,1166.9916666666666,150,283,0.53,44,103,0.427,36,55,0.655,16,110,126,130,57,30,18,19,100,42,380,-16,813.2,3,0,60,29,368,146,137,173,197,90,179,214,52,232,211,413,304,207,234,93,127,167,145,426,499,260,186,361,187,96,31,5,"1630245,1610612741",6-4,76.0,200,Illinois,USA,2021,2,38,-0.8
33,1629168,BJ Johnson,BJ,1610612753,ORL,26.0,4,2,2,0.5,64.595,11,25,0.44,4,10,0.4,0,0,0.0,6,9,15,0,0,0,1,2,4,0,26,-12,47.0,0,0,507,487,65,284,476,454,459,283,385,415,83,519,524,519,420,469,460,543,542,521,443,134,91,540,462,338,480,211,31,5,"1629168,1610612753",6-6,78.0,200,La Salle,USA,Undrafted,Undrafted,Undrafted,-9.2
34,1628389,Bam Adebayo,Bam,1610612748,MIA,24.0,29,17,12,0.586,960.305,198,385,0.514,0,3,0.0,132,172,0.767,79,213,292,102,86,46,19,26,93,152,528,91,1140.4,15,0,326,237,235,189,186,118,138,110,482,472,482,55,42,242,45,62,57,127,67,71,133,495,478,45,121,88,117,30,31,5,"1628389,1610612748",6-9,81.0,255,Kentucky,USA,2017,1,14,4.8
35,203463,Ben McLemore,Ben,1610612757,POR,28.0,37,14,23,0.378,655.535,108,272,0.397,85,219,0.388,25,32,0.781,8,46,54,29,24,12,4,9,54,36,326,-122,458.3,0,0,248,290,468,422,265,238,205,410,73,94,116,295,297,227,395,351,370,317,292,321,359,289,319,282,215,540,290,211,31,5,"203463,1610612757",6-3,75.0,195,Kansas,USA,2013,1,7,-9.0
36,202687,Bismack Biyombo,Bismack,1610612756,PHX,29.0,14,14,0,1.0,288.58,54,88,0.614,0,0,0.0,26,47,0.553,44,60,104,14,12,9,14,4,31,41,134,64,336.8,5,0,429,290,1,1,380,333,374,49,482,541,482,293,236,468,125,310,270,391,374,358,190,191,229,267,342,110,332,74,31,5,"202687,1610612756",6-8,80.0,255,None,DRC,2011,1,7,10.3
37,201933,Blake Griffin,Blake,1610612751,BKN,32.0,41,23,18,0.561,753.7633333333333,99,245,0.404,23,111,0.207,44,60,0.733,48,134,182,88,18,23,12,17,77,103,265,30,702.4,1,0,183,131,368,218,239,252,235,394,258,202,444,199,197,316,113,154,148,157,343,220,215,397,417,93,252,153,215,143,31,5,"201933,1610612751",6-9,81.0,250,Oklahoma,USA,2009,1,1,1.6
38,1626246,Boban Marjanovic,Boban,1610612742,DAL,33.0,17,10,7,0.588,97.99333333333334,36,57,0.632,1,3,0.333,8,16,0.5,7,23,30,2,11,0,2,5,20,16,81,29,115.0,0,0,412,360,157,185,458,376,410,37,443,472,254,395,369,477,407,413,423,497,384,521,412,218,184,374,397,157,423,211,31,5,"1626246,1610612742",7-3,87.0,290,None,Serbia,Undrafted,Undrafted,Undrafted,14.8
39,1626171,Bobby Portis,Bobby,1610612749,MIL,26.0,45,28,17,0.622,1289.6533333333334,268,553,0.485,85,206,0.413,63,83,0.759,121,287,408,59,69,31,39,29,118,75,684,210,1403.1,18,0,111,48,348,149,113,65,81,169,73,103,63,138,142,263,18,23,22,211,102,160,42,518,546,148,78,23,64,22,31,5,"1626171,1610612749",6-10,82.0,250,Arkansas,USA,2015,1,22,6.5
40,203992,Bogdan Bogdanovic,Bogdan,1610612737,ATL,29.0,34,16,18,0.471,982.57,157,372,0.422,81,225,0.36,36,45,0.8,9,118,127,100,37,29,7,9,68,54,431,20,804.4,0,0,285,255,368,344,180,162,149,342,83,82,180,232,245,201,383,194,232,136,203,171,299,289,381,208,159,178,188,211,31,5,"203992,1610612737",6-6,78.0,225,None,Serbia,2014,1,27,-0.1
41,202711,Bojan Bogdanovic,Bojan,1610612762,UTA,32.0,51,32,19,0.627,1578.6266666666668,312,678,0.46,124,324,0.383,163,189,0.862,41,180,221,90,87,25,1,47,86,126,911,177,1302.2,3,0,18,22,395,144,24,39,41,221,22,25,126,27,37,102,134,96,97,151,66,207,443,574,448,73,27,38,81,96,31,5,"202711,1610612762",6-7,79.0,226,None,Croatia,2011,2,31,5.4
42,1629626,Bol Bol,Bol,1610612738,BOS,22.0,14,5,9,0.357,80.84,15,27,0.556,1,4,0.25,2,5,0.4,4,16,20,5,4,1,2,1,4,2,33,5,69.5,0,0,429,442,192,446,469,436,454,73,443,454,406,475,452,506,449,441,446,453,458,473,412,86,91,493,448,225,461,211,31,5,"1629626,1610612738",7-2,86.0,220,Oregon,Sudan,2019,2,44,0.5
43,1630538,Bones Hyland,Bones,1610612743,DEN,21.0,40,22,18,0.55,699.3333333333334,114,312,0.365,67,195,0.344,40,45,0.889,7,95,102,77,46,19,13,23,83,40,335,-20,622.9,1,0,204,147,368,241,254,229,179,471,110,110,220,213,245,62,407,243,274,176,164,269,203,473,432,269,208,373,243,143,31,5,"1630538,1610612743",6-2,74.0,169,Virginia Commonwealth,USA,2021,1,26,-1.5
44,202954,Brad Wanamaker,Brad,1610612764,WAS,32.0,23,10,13,0.435,319.62,28,77,0.364,4,17,0.235,23,25,0.92,6,33,39,55,23,7,6,12,45,29,83,-44,228.3,0,0,379,360,251,380,367,398,391,475,385,385,427,301,324,42,420,387,399,229,301,383,317,337,275,305,395,447,376,211,31,5,"202954,1610612764",6-3,75.0,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,-6.4
45,203078,Bradley Beal,Bradley,1610612764,WAS,28.0,40,17,23,0.425,1438.95,348,771,0.451,63,210,0.3,169,203,0.833,38,151,189,265,135,36,15,34,95,161,928,-102,1570.3,4,0,204,237,468,385,66,20,23,254,124,100,343,25,31,158,150,130,139,18,17,126,175,541,484,38,24,523,40,84,31,5,"203078,1610612764",6-4,76.0,207,Florida,USA,2012,1,3,-3.5
46,1630527,Brandon Boston Jr.,Brandon,1610612746,LAC,20.0,37,19,18,0.514,589.5766666666667,90,248,0.363,26,87,0.299,47,55,0.855,13,78,91,32,25,20,9,23,33,45,253,-47,472.2,0,0,248,202,368,275,279,268,229,477,246,233,349,189,211,114,338,275,290,308,285,255,262,473,238,244,261,456,286,211,31,5,"1630527,1610612746",6-6,78.0,188,Kentucky,USA,2021,2,51,-3.7
47,1629634,Brandon Clarke,Brandon,1610612763,MEM,25.0,40,27,13,0.675,742.46,169,260,0.65,4,18,0.222,54,76,0.711,78,129,207,54,20,19,41,16,68,63,396,83,885.4,1,0,204,58,251,91,243,147,217,30,385,381,433,163,153,353,48,161,117,231,326,269,35,385,381,174,178,92,171,143,31,5,"1629634,1610612763",6-8,80.0,215,Gonzaga,Canada,2019,1,21,5.9
48,1629164,Brandon Goodwin,Brandon,1610612739,CLE,26.0,13,9,4,0.692,232.56833333333333,33,82,0.402,12,31,0.387,7,14,0.5,7,27,34,47,15,15,0,9,19,16,85,10,226.3,0,0,437,384,111,81,395,384,386,399,318,339,118,410,376,477,407,399,414,255,360,298,491,289,180,374,391,210,377,211,31,5,"1629164,1610612739",6-0,72.0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,1.2
49,1627742,Brandon Ingram,Brandon,1610612740,NOP,24.0,38,18,20,0.474,1308.8816666666667,310,702,0.442,59,173,0.341,178,215,0.828,28,198,226,204,96,24,15,37,74,184,857,26,1455.2,5,0,231,221,418,342,108,42,37,280,138,129,232,24,25,164,199,75,92,46,51,215,175,553,406,27,36,165,57,74,31,5,"1627742,1610612740",6-8,80.0,190,Duke,USA,2016,1,2,1.2
50,202688,Brandon Knight,Brandon,1610612742,DAL,30.0,3,1,2,0.333,54.49333333333333,9,20,0.45,4,13,0.308,8,8,1.0,0,7,7,8,4,1,0,2,5,6,30,6,49.4,0,0,515,516,65,460,484,462,471,258,385,400,328,395,427,1,536,481,495,429,458,473,491,134,100,441,456,222,478,211,31,5,"202688,1610612742",6-2,74.0,182,Kentucky,USA,2011,1,8,7.9
51,1630314,Brandon Williams,Brandon,1610612757,POR,22.0,2,0,2,0.0,11.75,2,3,0.667,0,0,0.0,4,7,0.571,0,2,2,2,0,0,0,0,0,5,8,20,13.4,0,0,540,560,65,560,548,520,547,19,482,541,482,439,437,461,536,530,541,497,542,521,491,1,1,452,510,178,532,211,31,5,"1630314,1610612757",6-2,74.0,190,Arizona,USA,Undrafted,Undrafted,Undrafted,82.6
52,1630296,Braxton Key,Braxton,1610612755,PHI,24.0,2,2,0,1.0,6.4,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,1,2,1,0,0,1,0,2,-5,6.9,0,0,540,487,1,1,569,534,558,124,482,513,482,519,524,519,500,546,541,517,482,473,491,1,29,540,547,293,553,211,31,5,"1630296,1610612755",6-8,80.0,225,Virginia,USA,Undrafted,Undrafted,Undrafted,-33.3
53,1630271,Brodric Thomas,Brodric,1610612738,BOS,25.0,7,3,4,0.429,27.571666666666665,1,9,0.111,0,6,0.0,2,2,1.0,2,3,5,5,3,0,0,0,1,1,4,4,14.5,0,0,480,466,111,381,515,534,506,552,482,441,482,475,495,1,472,517,512,453,469,521,491,1,29,513,532,231,528,211,31,5,"1630271,1610612738",6-5,77.0,185,Truman State,USA,Undrafted,Undrafted,Undrafted,6.3
54,201572,Brook Lopez,Brook,1610612749,MIL,33.0,1,1,0,1.0,28.166666666666668,3,9,0.333,2,4,0.5,0,0,0.0,2,3,5,0,0,1,3,2,3,0,8,0,26.0,0,0,568,516,1,1,514,506,506,495,420,454,13,519,524,519,472,517,512,543,542,473,386,134,77,540,510,258,505,211,31,5,"201572,1610612749",7-0,84.0,282,Stanford,USA,2008,1,10,2.0
55,1628971,Bruce Brown,Bruce,1610612751,BKN,25.0,43,22,21,0.512,878.7283333333334,110,231,0.476,10,36,0.278,28,37,0.757,52,132,184,51,28,42,22,19,105,38,258,-64,719.3,0,0,150,147,435,278,209,236,242,183,332,331,388,275,281,268,100,157,146,239,266,90,109,426,513,278,253,485,211,211,31,5,"1628971,1610612751",6-4,76.0,202,Miami,USA,2018,2,42,-1.9
