,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,ABBREVIATION,YEARFOUNED
0,1610612737,Atlanta Hawks,52,25,27,0.481,2496.0,2123,4542,0.467,654,1741,0.376,913,1140,0.801,504,1797,2301,1263,640.0,355,226,235,951,1045,5813,12.0,18,19,17,19,29,14,24,6,13,23,1,6,12,6,22,22,24,17,1,29,25,8,3,13,15,16,10,Atlanta Hawks,ATL,1949
1,1610612738,Boston Celtics,54,29,25,0.537,2632.0,2122,4717,0.45,668,1957,0.341,918,1125,0.816,576,1925,2501,1253,763.0,391,318,256,1014,1041,5830,193.0,3,11,14,14,4,16,10,22,12,8,22,5,16,2,10,3,3,20,19,17,2,16,15,16,13,8,10,Boston Celtics,BOS,1946
2,1610612751,Brooklyn Nets,52,29,23,0.558,2506.0,2165,4597,0.471,578,1639,0.353,887,1084,0.818,525,1819,2344,1318,730.0,365,284,271,1030,1003,5795,45.0,18,11,10,11,21,10,17,5,27,27,16,14,21,1,20,19,19,9,13,27,7,24,16,22,17,15,10,Brooklyn Nets,BKN,1976
3,1610612766,Charlotte Hornets,54,28,26,0.519,2612.0,2276,4960,0.459,749,2061,0.363,832,1130,0.736,577,1826,2403,1454,712.0,468,266,256,1055,1051,6133,-32.0,3,13,16,16,7,3,3,14,4,5,6,21,14,28,9,16,12,3,10,4,9,16,21,9,2,18,10,Charlotte Hornets,CHA,1988
4,1610612741,Chicago Bulls,52,33,19,0.635,2501.0,2166,4528,0.478,586,1566,0.374,889,1095,0.812,464,1776,2240,1276,681.0,381,242,268,975,925,5807,100.0,18,5,4,4,26,9,25,1,25,30,3,13,19,4,28,24,26,14,5,19,21,22,7,29,16,11,10,Chicago Bulls,CHI,1966
5,1610612739,Cleveland Cavaliers,53,32,21,0.604,2544.0,2100,4513,0.465,627,1786,0.351,827,1099,0.753,548,1848,2396,1351,792.0,378,229,242,894,1012,5654,225.0,13,7,6,7,16,20,26,9,20,21,17,23,18,24,13,11,14,8,26,21,23,11,1,20,20,5,10,Cleveland Cavaliers,CLE,1970
6,1610612742,Dallas Mavericks,53,30,23,0.566,2559.0,2076,4580,0.453,649,1950,0.333,831,1080,0.769,501,1818,2319,1269,665.0,378,217,208,1040,1054,5632,139.0,13,10,10,10,13,21,20,19,14,10,25,22,22,16,23,20,22,16,4,21,27,1,17,7,22,9,10,Dallas Mavericks,DAL,1980
7,1610612743,Denver Nuggets,52,28,24,0.538,2506.0,2116,4490,0.471,670,1890,0.354,765,972,0.787,462,1778,2240,1401,728.0,378,197,252,1003,996,5667,78.0,18,13,13,13,21,18,27,4,10,15,14,28,30,10,29,23,26,4,12,21,29,15,10,24,19,12,10,Denver Nuggets,DEN,1976
8,1610612765,Detroit Pistons,52,12,40,0.231,2506.0,1926,4581,0.42,582,1821,0.32,891,1144,0.779,548,1668,2216,1160,763.0,408,250,270,1118,1047,5325,-485.0,18,29,29,29,21,30,19,29,26,19,29,11,11,13,13,29,29,27,19,11,18,23,29,11,29,30,10,Detroit Pistons,DET,1948
9,1610612744,Golden State Warriors,53,40,13,0.755,2554.0,2142,4583,0.467,772,2123,0.364,824,1078,0.764,534,1929,2463,1458,827.0,500,262,217,1075,940,5880,438.0,13,2,2,2,15,12,18,7,1,3,5,24,23,19,18,2,5,2,29,2,10,3,23,28,9,1,10,Golden State Warriors,GSW,1946
10,1610612745,Houston Rockets,52,15,37,0.288,2501.0,2009,4453,0.451,686,1996,0.344,931,1296,0.718,497,1721,2218,1188,878.0,381,244,303,1042,1166,5635,-447.0,18,28,28,28,26,26,29,20,9,7,20,2,1,30,24,27,28,25,30,19,20,28,18,1,21,29,10,Houston Rockets,HOU,1967
11,1610612754,Indiana Pacers,54,19,35,0.352,2622.0,2197,4800,0.458,636,1904,0.334,866,1131,0.766,587,1822,2409,1318,769.0,370,305,262,1099,1047,5896,-105.0,3,26,25,26,5,7,7,15,18,14,24,18,13,17,7,18,10,9,22,25,3,20,27,11,8,22,10,Indiana Pacers,IND,1976
12,1610612746,LA Clippers,54,27,27,0.5,2602.0,2123,4710,0.451,669,1862,0.359,820,1041,0.788,483,1897,2380,1257,770.0,404,246,232,1009,1014,5735,-35.0,3,16,17,17,9,14,11,21,11,18,9,26,27,9,26,6,16,19,23,13,19,7,13,19,18,19,10,LA Clippers,LAC,1970
13,1610612747,Los Angeles Lakers,54,26,28,0.481,2637.0,2235,4821,0.464,648,1863,0.348,873,1197,0.729,518,1908,2426,1299,794.0,436,302,218,1089,1081,5991,-71.0,3,18,19,18,3,4,5,11,15,17,18,17,5,29,21,5,8,11,27,7,4,4,26,2,7,21,10,Los Angeles Lakers,LAL,1948
14,1610612763,Memphis Grizzlies,55,37,18,0.673,2655.0,2347,5137,0.457,610,1800,0.339,892,1210,0.737,748,1924,2672,1382,734.0,558,352,352,1051,1044,6196,225.0,1,3,3,3,1,1,1,16,22,20,23,10,4,27,1,4,1,6,14,1,1,30,20,15,1,5,10,Memphis Grizzlies,MEM,1995
